iter	Passed	Remaining
750	3910	1296
751	3915	1291
752	3921	1286
753	3926	1281
754	3931	1275
755	3937	1270
756	3942	1265
757	3947	1260
758	3953	1255
759	3958	1250
760	3963	1244
761	3970	1240
762	3975	1234
763	3980	1229
764	3987	1224
765	3992	1219
766	3998	1214
767	4004	1209
768	4009	1204
769	4015	1199
770	4020	1194
771	4025	1188
772	4030	1183
773	4036	1178
774	4041	1173
775	4046	1168
776	4051	1162
777	4056	1157
778	4061	1152
779	4067	1147
780	4072	1141
781	4076	1136
782	4082	1131
783	4088	1126
784	4093	1121
785	4098	1116
786	4103	1110
787	4109	1105
788	4116	1100
789	4124	1096
790	4132	1092
791	4137	1086
792	4142	1081
793	4148	1076
794	4153	1070
795	4157	1065
796	4163	1060
797	4168	1055
798	4172	1049
799	4178	1044
800	4182	1039
801	4187	1033
802	4192	1028
803	4197	1023
804	4202	1017
805	4207	1012
806	4212	1007
807	4217	1002
808	4222	996
809	4228	991
810	4232	986
811	4237	981
812	4243	975
813	4247	970
814	4252	965
815	4257	960
816	4263	955
817	4269	949
818	4274	944
819	4279	939
820	4284	934
821	4290	929
822	4295	923
823	4300	918
824	4306	913
825	4312	908
826	4318	903
827	4325	898
828	4330	893
829	4337	888
830	4345	883
831	4351	878
832	4358	873
833	4366	869
834	4376	864
835	4383	859
836	4392	855
837	4400	850
838	4408	845
839	4415	841
840	4423	836
841	4431	831
842	4441	827
843	4448	822
844	4456	817
845	4463	812
846	4473	808
847	4480	803
848	4489	798
849	4497	793
850	4507	789
851	4514	784
852	4534	781
853	4541	776
854	4547	771
855	4554	766
856	4560	760
857	4566	755
858	4573	750
859	4580	745
860	4588	740
861	4595	735
862	4602	730
863	4608	725
864	4613	719
865	4620	714
866	4625	709
867	4630	704
868	4637	699
869	4643	693
870	4649	688
871	4655	683
872	4660	677
873	4666	672
874	4672	667
875	4686	663
876	4692	658
877	4698	652
878	4704	647
879	4709	642
880	4715	637
881	4720	631
882	4726	626
883	4732	620
884	4737	615
885	4742	610
886	4748	605
887	4754	599
888	4758	594
889	4765	588
890	4770	583
891	4775	578
892	4782	572
893	4786	567
894	4792	562
895	4798	557
896	4803	551
897	4809	546
898	4816	541
899	4821	535
900	4830	530
901	4834	525
902	4839	519
903	4845	514
904	4849	509
905	4854	503
906	4860	498
907	4864	492
